#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         STP>Solar-Terrestrial Physics
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      SWA-PAS>Solar Wind Analyser / Proton-Alpha Sensor
#     DATA_VERSION                    02
#     PI_NAME                         C.J. Owen
#     PI_AFFILIATION                  MSSL-UCL, University College London, UK
#     TEXT                            Moments computed from the Proton part of ion distribution function measured                           
#                                      by PAS                                                                                                
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_swa-pas-grnd-mom
#     LOGICAL_FILE_ID                 solo_L2_swa-pas-grnd-mom_20200707_V02
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Level 2 Ground Calculated Moments Data from Solar Wind Analyser                         
#                                      (SWA) Proton-Alpha Sensor (PAS)                                                                       
#     RULES_OF_USE                    Consult with MSSL-UCL before using
#     GENERATED_BY                    IRAP - Toulouse
#     GENERATION_DATE                 2022-11-09T05:54:58
#     MODS                            2020/10/26 - A. Fedorov, A. Barthe - Initial version
#     SOFTWARE_VERSION                pas_process_9_1 - 2021/12/02
#     CALIBRATION_VERSION             solo_CAL_catalog_20211108_V83.txt
#     PARENTS                         solo_L1_swa-pas-3d_20220906_V01.cdf
#                                     solo_ANC_soc-flown-mk_V107_20221108_001.tm
#     CDAWEB_PARENTS                  solo_l2_swa-pas-grnd-mom_00000000_v01
#                                     solo_l2_swa-pas-grnd-mom_20220906_v02, solo_l2_swa-pas-grnd-mom_20220907_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Density
#  3. Temperature
#  4. Velocity in RTN frame
#
#  
# Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.
# Generated by CDAWeb on: Thu Apr  4 10:55:39 2024
EPOCH                             DENSITY   TEMPERATURE        VR_RTN        VT_RTN        VN_RTN
dd-mm-yyyy hh:mm:ss.mil.mic         cm^-3            eV          km/s          km/s          km/s
06-09-2022 00:00:01.550.160       2.40985       68.6558       524.151      -84.6642       13.2638
06-09-2022 00:00:17.550.188       2.99509       111.051       464.485      -40.0540      -5.50519
06-09-2022 00:00:21.550.195       2.30607       62.7269       527.243      -81.4189       24.0181
06-09-2022 00:00:25.550.202       4.03481       146.488       401.994      -42.2721       91.6439
06-09-2022 00:00:29.550.209       2.37052       70.3053       502.809      -77.8568      0.719234
06-09-2022 00:00:33.550.216       2.42344       62.4915       521.970      -77.0689       4.06558
06-09-2022 00:00:37.550.223       2.77743       90.2167       486.622      -58.8227      -6.92601
06-09-2022 00:00:41.550.230       2.31402       63.6008       525.021      -72.0998       9.86674
06-09-2022 00:00:45.550.237       2.34700       42.2978       530.872      -92.0561       10.7341
06-09-2022 00:00:49.550.244       2.42875       43.0925       532.506      -81.5925       14.8635
06-09-2022 00:00:53.550.250       2.59322       71.2822       506.461      -68.1606      -4.41874
06-09-2022 00:00:57.550.258       2.74884       80.5177       501.096      -54.5112       6.22123
06-09-2022 00:01:01.550.264       2.45932       51.8900       517.727      -79.1993       3.19446
06-09-2022 00:01:05.550.271       4.30329       154.842       464.540      -36.8840       143.762
06-09-2022 00:01:09.550.278       2.32252       42.6568       535.655      -84.3760       2.43558
06-09-2022 00:01:13.550.285       2.39971       43.4818       530.068      -72.2471       12.2456
06-09-2022 00:01:17.550.292       2.51320       78.0678       508.207      -60.7317      -5.39859
06-09-2022 00:01:21.550.299       2.40416       56.9480       520.139      -73.7792      -4.55972
06-09-2022 00:01:25.550.306       2.59963       67.4893       504.693      -67.2586      -4.29202
06-09-2022 00:01:29.550.313       2.75344       81.6205       497.479      -72.3530      -2.65761
06-09-2022 00:01:33.550.320       2.48739       44.0355       527.047      -71.8470       5.10541
06-09-2022 00:01:37.550.327       2.37106       51.5138       528.823      -70.8474      0.135797
06-09-2022 00:01:41.550.334       2.37912       54.8674       519.405      -73.1384      -7.87721
06-09-2022 00:01:45.550.341       2.72510       82.4540       490.409      -57.1251      -8.63953
06-09-2022 00:01:49.550.348       2.38267       57.3536       524.327      -64.4475      -9.86377
06-09-2022 00:01:53.550.355       3.04361       97.9718       467.291      -28.7880      -12.9327
06-09-2022 00:01:57.550.362       2.46670       55.2349       518.401      -57.5627      -9.62671
06-09-2022 00:02:01.550.369       3.02181       79.6389       487.262      -46.1825      -12.0364
06-09-2022 00:02:25.550.411       2.60924       48.9806       526.117      -34.4745      -7.20538
06-09-2022 00:02:29.550.418       2.48022       42.5118       513.921      -45.3848      -8.71504
06-09-2022 00:02:33.550.425       3.61983       88.4406       450.461       5.38222      -29.0433
06-09-2022 00:02:37.550.431       2.56126       37.0026       527.620      -40.5798      0.709187
06-09-2022 00:02:41.550.439       2.49871       51.3560       517.178      -35.6283      -5.29975
06-09-2022 00:02:45.550.445       2.41440       41.8134       523.228      -43.8463      0.617418
