Year start duration distance heliolongitude heliolatitude
1977 265.80 28 1.07 -65.59 9.83
1977 295.08 4 1.26 -36.99 8.94
1977 335.87 11 1.63 -10.73 6.20
1977 350.12 18 1.77 -4.22 5.27
1978 7.52 23 1.98 4.11 4.00
1978 17.08 35 2.07 7.19 3.50
1978 29.37 37 2.18 10.71 2.93
1978 39.70 76 2.28 13.58 2.46
1978 51.96 40 2.39 16.30 1.99
1978 66.04 68 2.52 19.47 1.44
1978 91.79 38 2.73 24.19 0.53
1978 100.62 57 2.80 22.75 0.36
1978 117.16 40 2.93 28.26 -0.07
1978 121.16 13 2.96 28.78 -0.16
1978 122.41 7 2.97 28.94 -0.19
1978 142.96 122 3.14 32.10 -0.74
1978 155.29 29 3.20 33.17 -0.93
1978 157.23 71 3.24 33.76 -1.04
1978 188.04 94 3.46 37.37 -1.66
1978 201.82 55 3.55 38.74 -1.89
1978 207.58 87 3.59 39.35 -1.99
1978 221.50 15 3.68 40.59 -2.21
1978 227.9 51 3.72 41.26 -2.32
1978 230.16 66 3.74 41.50 -2.36
1978 266.29 139 3.97 44.76 -2.91
1978 283.04 105 4.06 46.03 -3.11
1978 289.46 144 4.11 46.62 -3.21
1978 298.99 170 4.16 47.33 -3.32
1978 320.48 100 4.28 48.82 -3.57
1978 341.46 338 4.41 50.59 -3.85
1979 3.68 216 4.54 52.18 -4.11
